product_id,product_name,Formulation,product_type,product_type,brand_name,source
1,Azadirachtin,0.15% EC w/w Min. Neem Seed Kernel Based,Liquid,Bio insecticide,,
2,Azadirachtin,0.3% EC (3000 PPM) Min. Neem Seed Kernel Based,Liquid,Bio insecticide,,
3,Azadirachtin,1% (10000 ppm) EC Min. Neem Based,,Bio insecticide,,
4,Azadirachtin,01.00% EC (10000 PPM) Min. Neem Based,,Bio insecticide,,
5,Azadirachtin,00.03% EC Min. Neem Oil Based,,Bio insecticide,,
6,Azadirachtin,00.03% WSP (300 PPM) Neem Oil Based,,Bio insecticide,,
7,Azadirachtin,05.00% w/w Min. Neem Extract Concentrates,,Bio insecticide,,
8,Bacillus thuringiensis var. galleriae,,,Bio insecticide,,
9,Bacillus thuringiensis kurstaki 5.0% WP,,,Bio insecticide,,
10,Bacillus thuringiensis kurstaki 0.5% WP,,,Bio insecticide,,
11,Bacillus thuringiensis var kurstaki 2.5% AS,,,Bio insecticide,,
12,Bacillus thuringiensis var. kurstaki 10% WSL,,,Bio insecticide,,
13,Beauveria bassiana 1.15% WP,,,Bio insecticide,,
14,Beauveria bassiana 1.0% WP,,,Bio insecticide,,
15,Beauveria bassiana 5.0% WP,,,Bio insecticide,,
16,Beauveria bassiana 5.0% SC,,,Bio insecticide,,
17,Beauveria bassiana 5.0% AS,,,Bio insecticide,,
18,Beauveria bassiana 10.00% SC,,,Bio insecticide,,
19,Beauveria bassiana 1.5%,,,Bio insecticide,,
20,Metarhizium anisopliae 1% WP,,,Bio insecticide,,
21,Metarhizium anisopliae 1.15% WP,,,Bio insecticide,,
22,Metarhizium anisopliae 10% GR,,,Bio insecticide,,
23,Pseudomonas fluorescens 1.0% WP,,,Bio insecticide,,
24,Trichoderma harzianum 1.0% WP,,,Bio insecticide,,
25,Trichoderma harzianum 1.5% WP,,,Bio insecticide,,
26,Verticillium chlamydosporium 1.0% WP,,,Bio insecticide,,
27,Verticillium lecanii 1.15%WP,,,Bio insecticide,,
28,Verticillium Lecanii 1.50% Liquid,,,Bio insecticide,,
29,Verticillium lecanii 3.0% AS,,,Bio insecticide,,
30,Verticillium lecanii 5.0% SC,,,Bio insecticide,,
31,Nuclear Polyhedrosis Virus of Helicoverpa armigera 0.43% AS,,,Bio insecticide,,
32,Nuclear Polyhedrosis Virus of Helicoverpa armigera 2.0% AS,,,Bio insecticide,,
33,Nuclear Polyhedrosis Virus of Spodoptera litura 0.5% AS,,,Bio insecticide,,
34,Paecilomyces lilacinus 01.15% WP,,,Bio insecticide,,
35,Paecilomyces lilacinus 01.50% LF,,,Bio insecticide,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,